City,Skilled,Family,Humanitarian,Total
Greater Sydney,481569,312781,86398,880748
Rest of New South Wales,55313,41779,9353,106445
Greater Melbourne,465129,249190,86426,800745
Rest of Victoria,31869,22875,7827,62571
Greater Brisbane,175022,89450,26896,291368
Rest of Queensland,103903,60514,9021,173438
Greater Adelaide,102198,41976,23454,167628
Rest of South Australia,5867,4160,778,10805
Greater Perth,245115,95759,23675,364549
Rest of Western Australia,21975,10916,799,33690
Greater Hobart,11743,4130,1903,17776
Rest of Tasmania,5734,3738,1937,11409
Greater Darwin,12974,5797,976,19747
Rest of Northern Territory,3117,1539,291,4947